name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Peacehaven, England, United Kingdom",2023-06-16,75.7,54,66.3,75.7,54,66.3,51.3,60.8,0,0,0,,0,0,13.6,8,71.3,1018.9,1.4,22.6,312,27.1,9,,2023-06-16T04:46:12,2023-06-16T21:15:25,0.94,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-17,74.2,54.5,65.4,74.2,54.5,65.4,54,67.3,0.011,100,8.33,rain,0,0,10.8,7.6,44.7,1013.9,42.3,17.5,220.9,19.2,6,,2023-06-17T04:46:11,2023-06-17T21:15:51,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-18,70.4,60.1,64.1,70.4,60.1,64.1,60.7,89.2,0.462,100,50,rain,0,0,16.8,10.1,171.6,1009.4,80.6,7.5,158.3,13.8,7,,2023-06-18T04:46:12,2023-06-18T21:16:13,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,remote,03876099999"
"Peacehaven, England, United Kingdom",2023-06-19,69.4,59.7,63.8,69.4,59.7,63.8,58.9,84.8,0.001,100,4.17,rain,0,0,14.9,9.8,206,1011.2,70.7,13.5,213.5,18.6,7,,2023-06-19T04:46:16,2023-06-19T21:16:33,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-20,68,60.2,64.1,68,60.2,64.1,60.1,87,0.654,100,16.67,rain,0,0,19.6,13,201.6,1008.7,66.6,14.4,163.6,14.3,5,,2023-06-20T04:46:24,2023-06-20T21:16:50,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-21,70.8,59.3,64.3,70.8,59.3,64.3,59,83.6,0,0,0,,0,0,16.6,11,224.3,1016.4,47.5,15.4,232.2,20.1,9,,2023-06-21T04:46:34,2023-06-21T21:17:04,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-22,75.6,55.2,66.1,75.6,55.2,66.1,58.3,78,0.024,100,4.17,rain,0,0,18.3,10.8,281.2,1018.7,34.6,13.2,308.8,26.7,8,,2023-06-22T04:46:47,2023-06-22T21:17:15,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-23,73.6,56.6,66.1,73.6,56.6,66.1,57.8,75.8,0.002,100,4.17,rain,0,0,19.6,13.2,246.2,1023.7,15.7,16.9,289.2,25.1,9,,2023-06-23T04:47:03,2023-06-23T21:17:23,0.17,Rain,Clear conditions throughout the day with morning rain.,rain,"03769099999,03882099999,03872099999,03768099999,03781099999,E8153,remote,03876099999"
"Peacehaven, England, United Kingdom",2023-06-24,73.5,59.8,66.6,73.5,59.8,66.6,59.9,80.2,0,0,0,,0,0,14.3,8.7,219.4,1023.6,41.1,15.6,298.4,25.9,8,,2023-06-24T04:47:22,2023-06-24T21:17:28,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-25,77.4,56.3,67.8,77.4,56.3,67.8,59,74.4,0,0,0,,0,0,24,16.6,210.6,1015.6,3,19.1,316.4,27.4,9,,2023-06-25T04:47:44,2023-06-25T21:17:30,0.24,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-26,70,56.6,63.5,70,56.6,63.5,52.6,68.6,0,0,0,,0,0,24.7,15.9,261.7,1020,24.6,18.3,244.4,20.9,7,,2023-06-26T04:48:08,2023-06-26T21:17:29,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"03769099999,03882099999,03872099999,03768099999,03781099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-27,69.6,56,63.2,69.6,56,63.2,54.5,73.8,0,0,0,,0,0,22.2,14.6,248.8,1021.6,75.4,15.9,235.5,20.4,7,,2023-06-27T04:48:35,2023-06-27T21:17:25,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-28,72,63,66.9,72,63,66.9,61.7,83.9,0,0,0,,0,0,22.8,15.2,239,1017.8,88.2,9.2,218,18.7,8,,2023-06-28T04:49:05,2023-06-28T21:17:18,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-29,70.7,60.3,64.4,70.7,60.3,64.4,58.2,81.7,0.07,100,37.5,rain,0,0,18.3,10.4,289.3,1015.9,90.2,14.2,167.9,14.7,7,,2023-06-29T04:49:37,2023-06-29T21:17:08,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-06-30,65.5,51.2,59.5,65.5,51.2,59.5,54.1,82.7,0.014,100,16.67,rain,0,0,28.3,18.6,234.6,1013.1,66.8,13.4,113.4,9.8,6,,2023-06-30T04:50:13,2023-06-30T21:16:55,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-01,70.1,59.7,64.9,70.1,59.7,64.9,56.2,75.2,0.011,100,12.5,rain,0,0,23.6,14.6,264.1,1006.8,83.7,13.3,184.5,15.9,5,,2023-07-01T04:50:50,2023-07-01T21:16:38,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-02,66.6,53.7,61.1,66.6,53.7,61.1,50.1,68.4,0,0,0,,0,0,27.7,17.6,261.6,1012.1,54.9,11.1,239.4,20.5,9,,2023-07-02T04:51:30,2023-07-02T21:16:19,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-03,66.2,53.7,60.4,66.2,53.7,60.4,50.8,71.1,0.028,100,25,rain,0,0,34.2,21.7,250.7,1012,71.6,13.3,228.4,19.8,8,,2023-07-03T04:52:13,2023-07-03T21:15:57,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-04,64.1,53.8,59.2,64.1,53.8,59.2,52.9,80.1,0.126,100,33.33,rain,0,0,19.3,13.4,234.6,1010.8,85.6,13.2,148.4,12.6,5,,2023-07-04T04:52:58,2023-07-04T21:15:32,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-05,66.3,50.7,58.9,66.3,50.7,58.9,52.5,80.4,0.154,100,20.83,rain,0,0,28.9,18.6,258.9,1011.6,73.9,17.9,213.2,18.3,9,,2023-07-05T04:53:45,2023-07-05T21:15:04,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-06,67.6,52.2,60.2,67.6,52.2,60.2,51.5,74.7,0,0,0,,0,0,18.8,12.3,222.1,1016.6,42.5,17.8,307.6,26.5,9,,2023-07-06T04:54:35,2023-07-06T21:14:33,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,remote,03876099999"
